Open World Binary - Random Forest Experiment Results (No SMOTE)
==================================================
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9202586206896551, 'Cross_Val_Std': 0.002202075823180126, 'Test_Accuracy': 0.9163793103448276}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9226293103448275, 'Cross_Val_Std': 0.001961088476909878, 'Test_Accuracy': 0.9229310344827586}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9211637931034483, 'Cross_Val_Std': 0.001875866823016285, 'Test_Accuracy': 0.9194827586206896}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9225862068965517, 'Cross_Val_Std': 0.0012887858954936339, 'Test_Accuracy': 0.9241379310344827}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9218103448275862, 'Cross_Val_Std': 0.001768817631783043, 'Test_Accuracy': 0.9189655172413793}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9225, 'Cross_Val_Std': 0.001346594771708065, 'Test_Accuracy': 0.9210344827586207}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9204310344827586, 'Cross_Val_Std': 0.0023781231420920363, 'Test_Accuracy': 0.9165517241379311}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9221551724137932, 'Cross_Val_Std': 0.0016660472491455084, 'Test_Accuracy': 0.9212068965517242}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9027155172413792, 'Cross_Val_Std': 0.001901443534492514, 'Test_Accuracy': 0.8998275862068965}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'bootstrap': False}, 'Cross_Val_Mean_Accuracy': 0.9029741379310346, 'Cross_Val_Std': 0.002576850892695721, 'Test_Accuracy': 0.9003448275862069}
{'Feature_Select_k': 50, 'Normalize': True, 'Feature_Engineering': True, 'Params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'bootstrap': True}, 'Cross_Val_Mean_Accuracy': 0.9031896551724138, 'Cross_Val_Std': 0.0022372309090277556, 'Test_Accuracy': 0.9}
