n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Mean Fold Accuracy
100,None,2,1,sqrt,0.9262
100,None,2,1,log2,0.9276
100,None,2,2,sqrt,0.9243
100,None,2,2,log2,0.9241
100,None,2,4,sqrt,0.9225
100,None,2,4,log2,0.9215
100,None,2,8,sqrt,0.9174
100,None,2,8,log2,0.9162
100,None,5,1,sqrt,0.9257
100,None,5,1,log2,0.9244
100,None,5,2,sqrt,0.9244
100,None,5,2,log2,0.9232
100,None,5,4,sqrt,0.9225
100,None,5,4,log2,0.9215
100,None,5,8,sqrt,0.9174
100,None,5,8,log2,0.9162
100,10,2,1,sqrt,0.9022
100,10,2,1,log2,0.9025
100,10,2,2,sqrt,0.9017
100,10,2,2,log2,0.9022
100,10,2,4,sqrt,0.9017
100,10,2,4,log2,0.9021
100,10,2,8,sqrt,0.9018
100,10,2,8,log2,0.9013
100,10,5,1,sqrt,0.9019
100,10,5,1,log2,0.9032
100,10,5,2,sqrt,0.9015
100,10,5,2,log2,0.9023
100,10,5,4,sqrt,0.9017
100,10,5,4,log2,0.9021
100,10,5,8,sqrt,0.9018
100,10,5,8,log2,0.9013
100,30,2,1,sqrt,0.9258
100,30,2,1,log2,0.9267
100,30,2,2,sqrt,0.9238
100,30,2,2,log2,0.9244
100,30,2,4,sqrt,0.9223
100,30,2,4,log2,0.9212
100,30,2,8,sqrt,0.9174
100,30,2,8,log2,0.9162
100,30,5,1,sqrt,0.9252
100,30,5,1,log2,0.9243
100,30,5,2,sqrt,0.9246
100,30,5,2,log2,0.923
100,30,5,4,sqrt,0.9223
100,30,5,4,log2,0.9212
100,30,5,8,sqrt,0.9174
100,30,5,8,log2,0.9162
200,None,2,1,sqrt,0.9255
200,None,2,1,log2,0.9264
200,None,2,2,sqrt,0.9249
200,None,2,2,log2,0.9243
200,None,2,4,sqrt,0.9223
200,None,2,4,log2,0.9213
200,None,2,8,sqrt,0.9182
200,None,2,8,log2,0.9169
200,None,5,1,sqrt,0.9258
200,None,5,1,log2,0.9251
200,None,5,2,sqrt,0.9244
200,None,5,2,log2,0.9236
200,None,5,4,sqrt,0.9223
200,None,5,4,log2,0.9213
200,None,5,8,sqrt,0.9182
200,None,5,8,log2,0.9169
200,10,2,1,sqrt,0.9021
200,10,2,1,log2,0.9017
200,10,2,2,sqrt,0.9021
200,10,2,2,log2,0.9018
200,10,2,4,sqrt,0.9017
200,10,2,4,log2,0.9021
200,10,2,8,sqrt,0.9021
200,10,2,8,log2,0.9013
200,10,5,1,sqrt,0.9019
200,10,5,1,log2,0.9021
200,10,5,2,sqrt,0.9018
200,10,5,2,log2,0.9023
200,10,5,4,sqrt,0.9017
200,10,5,4,log2,0.9021
200,10,5,8,sqrt,0.9021
200,10,5,8,log2,0.9013
200,30,2,1,sqrt,0.9258
200,30,2,1,log2,0.9258
200,30,2,2,sqrt,0.9248
200,30,2,2,log2,0.9243
200,30,2,4,sqrt,0.9221
200,30,2,4,log2,0.9213
200,30,2,8,sqrt,0.9182
200,30,2,8,log2,0.9169
200,30,5,1,sqrt,0.9254
200,30,5,1,log2,0.9247
200,30,5,2,sqrt,0.9246
200,30,5,2,log2,0.9233
200,30,5,4,sqrt,0.9221
200,30,5,4,log2,0.9213
200,30,5,8,sqrt,0.9182
200,30,5,8,log2,0.9169
