n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Mean Fold Accuracy
100,None,2,1,sqrt,0.8263
100,None,2,1,log2,0.8263
100,None,2,2,sqrt,0.8183
100,None,2,2,log2,0.8183
100,None,2,4,sqrt,0.8039
100,None,2,4,log2,0.8014
100,None,2,8,sqrt,0.7742
100,None,2,8,log2,0.7707
100,None,5,1,sqrt,0.8219
100,None,5,1,log2,0.82
100,None,5,2,sqrt,0.8173
100,None,5,2,log2,0.8159
100,None,5,4,sqrt,0.8039
100,None,5,4,log2,0.8014
100,None,5,8,sqrt,0.7742
100,None,5,8,log2,0.7707
100,10,2,1,sqrt,0.5999
100,10,2,1,log2,0.586
100,10,2,2,sqrt,0.5973
100,10,2,2,log2,0.5852
100,10,2,4,sqrt,0.5958
100,10,2,4,log2,0.5831
100,10,2,8,sqrt,0.5923
100,10,2,8,log2,0.582
100,10,5,1,sqrt,0.5978
100,10,5,1,log2,0.5877
100,10,5,2,sqrt,0.5967
100,10,5,2,log2,0.5853
100,10,5,4,sqrt,0.5958
100,10,5,4,log2,0.5831
100,10,5,8,sqrt,0.5923
100,10,5,8,log2,0.582
100,30,2,1,sqrt,0.8283
100,30,2,1,log2,0.8282
100,30,2,2,sqrt,0.8194
100,30,2,2,log2,0.8189
100,30,2,4,sqrt,0.8039
100,30,2,4,log2,0.8012
100,30,2,8,sqrt,0.7742
100,30,2,8,log2,0.7707
100,30,5,1,sqrt,0.8219
100,30,5,1,log2,0.82
100,30,5,2,sqrt,0.8172
100,30,5,2,log2,0.8162
100,30,5,4,sqrt,0.8039
100,30,5,4,log2,0.8012
100,30,5,8,sqrt,0.7742
100,30,5,8,log2,0.7707
200,None,2,1,sqrt,0.8293
200,None,2,1,log2,0.8292
200,None,2,2,sqrt,0.821
200,None,2,2,log2,0.8206
200,None,2,4,sqrt,0.8065
200,None,2,4,log2,0.8032
200,None,2,8,sqrt,0.7755
200,None,2,8,log2,0.7729
200,None,5,1,sqrt,0.8233
200,None,5,1,log2,0.8229
200,None,5,2,sqrt,0.8198
200,None,5,2,log2,0.8186
200,None,5,4,sqrt,0.8065
200,None,5,4,log2,0.8032
200,None,5,8,sqrt,0.7755
200,None,5,8,log2,0.7729
200,10,2,1,sqrt,0.6003
200,10,2,1,log2,0.588
200,10,2,2,sqrt,0.5992
200,10,2,2,log2,0.5851
200,10,2,4,sqrt,0.5973
200,10,2,4,log2,0.5853
200,10,2,8,sqrt,0.5928
200,10,2,8,log2,0.5814
200,10,5,1,sqrt,0.5988
200,10,5,1,log2,0.5878
200,10,5,2,sqrt,0.5977
200,10,5,2,log2,0.5853
200,10,5,4,sqrt,0.5973
200,10,5,4,log2,0.5853
200,10,5,8,sqrt,0.5928
200,10,5,8,log2,0.5814
200,30,2,1,sqrt,0.8294
200,30,2,1,log2,0.8304
200,30,2,2,sqrt,0.8216
200,30,2,2,log2,0.8199
200,30,2,4,sqrt,0.8063
200,30,2,4,log2,0.8032
200,30,2,8,sqrt,0.7754
200,30,2,8,log2,0.7729
200,30,5,1,sqrt,0.8234
200,30,5,1,log2,0.8225
200,30,5,2,sqrt,0.82
200,30,5,2,log2,0.8189
200,30,5,4,sqrt,0.8063
200,30,5,4,log2,0.8032
200,30,5,8,sqrt,0.7754
200,30,5,8,log2,0.7729
